group_id	user_id	image_id	cluster_image_name	timestamp
934	13022	1416	AgIgVU5S6oIxqboZLOwjllXqLCZOTx2yYxEuKpss1j22.jpeg	1549564328
934	13022	9854	AgIgVU5S6oIxqboZLOwjllXqLCZOTx2yYxEuKpss1j22.jpeg	1549564332
934	13022	11554	AhS5DjY-3yle0EqaNHZIkklV-uWNVBxBrdviy-Zb2yvq.jpeg	1549564333
1821	5937	9164	Ag_bJCd04FKLNP2C9osKqyGDGK2T8pZZ-3-u7wAx1ezZ.jpeg	1549569315
1821	5937	41523	AhCxw5dk9Vmgwy2k38VZOcu1bNXjr-UqgQEB0D_6ib4a.jpeg	1549569319
1821	5937	50569	Ag_bJCd04FKLNP2C9osKqyGDGK2T8pZZ-3-u7wAx1ezZ.jpeg	1549569322
1821	5937	18057	Agch2q4hkVEMSQSLq8-DzjdvFq87oJQd0jxj6nGGyjxn.jpeg	1549569325
1821	5937	7010	AhCxw5dk9Vmgwy2k38VZOcu1bNXjr-UqgQEB0D_6ib4a.jpeg	1549569330
1821	5937	11150	Ag1ipwLehYbPZGkBFR4zxqbwdkAC3G0UQ-HfNDNzTr6_.jpeg	1549569332
1821	5937	45502	Ag3ppk8fjk1gGH5w-dgoh6sOuyC5wfS9KkQRpf-2n5w7.jpeg	1549569336
475	7150	27291	AgI29jruguehGigtdfg0qlgcAV9z1JapeonmYacKhCGv.jpeg	1549591281
942	4124	8772	AgkUaQDymhioqneWn7YAggwpFS0XbiBeMfcn6-bP8F2w.jpeg	1549592347
3254	2905	3117	AhXo8_rL8itMqbpb4-VrZcc4GA3aZs-pRYOikT-Git6c.jpeg	1549595499
3254	2905	12340	Ag-1I3smJYfxkog_OtgFmXdw6hNFGnXryPEjZfp2VaSZ.jpeg	1549595502
3254	2905	33804	Ag0wzNTxF65jZ54FiDCuBMY_XeJ2orRmvvtVZliDSrTA.jpeg	1549595510
3254	2905	38198	Ag4OQl08JQc9ZfA-f7PiUEoJZ2kwol4hkx7OJFggpcGf.jpeg	1549595512
3254	2905	42334	Ag2I5teLQnGiUFyKPwfFbkZ0R5x5_qfrJl7389OoaYc4.jpeg	1549595514
3254	2905	17082	Ag1cBugyI35L2NAX50aG12Vtr9NfxKo4R3Ma-X0nT4-4.jpeg	1549595516
3254	2905	43900	Ag2pgypj8OQLA9TW1PMNLCrlzl2oDgJq3xshGTl_DgAw.jpeg	1549595518
3254	2905	12801	Ag0fTL0OolouPnRC4AHM0ldjRgZm5HljOB6nZHYBItcS.jpeg	1549595524
3254	2905	23471	Ag5Y2Iqp45HHG6N9G5U_P3EiDn4uHgi24tRP5yxdy4U3.jpeg	1549595527
3254	2905	9120	AgfClzA8DTZIoSUr820oAgZeXFzQ8FqkdrD08I74ZdAv.jpeg	1549595532
3254	2905	13057	AgJ-BjNgG6KKnrZeDO2yFBsHfG7rlmeoShedGPRL4ri9.jpeg	1549595534
3254	2905	1456	AgfuBgBitS6WlyOptBWLisO1YItkXwAZ-_xNSvXIJ8rB.jpeg	1549595537
3256	2905	17046	Ag9tT4T_4u4C6jBRDEDtU9AYFVvHuSJI01JL4ir6By4v.jpeg	1549595538
3256	2905	3117	AhXo8_rL8itMqbpb4-VrZcc4GA3aZs-pRYOikT-Git6c.jpeg	1549595538
3254	2905	20214	AoCNsJazMOj_UKbiedsF-WMcIYITddXyDsEtjSNGgAgT.jpeg	1549595539
3256	2905	12340	Ag-1I3smJYfxkog_OtgFmXdw6hNFGnXryPEjZfp2VaSZ.jpeg	1549595540
3256	2905	33804	Ag0wzNTxF65jZ54FiDCuBMY_XeJ2orRmvvtVZliDSrTA.jpeg	1549595543
3256	2905	38198	Ag4OQl08JQc9ZfA-f7PiUEoJZ2kwol4hkx7OJFggpcGf.jpeg	1549595543
3256	2905	42334	Ag2I5teLQnGiUFyKPwfFbkZ0R5x5_qfrJl7389OoaYc4.jpeg	1549595544
3256	2905	17082	Ag1cBugyI35L2NAX50aG12Vtr9NfxKo4R3Ma-X0nT4-4.jpeg	1549595544
3256	2905	43900	Ag2pgypj8OQLA9TW1PMNLCrlzl2oDgJq3xshGTl_DgAw.jpeg	1549595545
3256	2905	12801	Ag0fTL0OolouPnRC4AHM0ldjRgZm5HljOB6nZHYBItcS.jpeg	1549595546
3256	2905	23471	Ag5Y2Iqp45HHG6N9G5U_P3EiDn4uHgi24tRP5yxdy4U3.jpeg	1549595548
3256	2905	9120	AgfClzA8DTZIoSUr820oAgZeXFzQ8FqkdrD08I74ZdAv.jpeg	1549595550
